date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:22	901/901	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20Nov%202015%2013:55:58%20GMT	http://thepointsb.com/robots.txt		(from )
21:04:26	47884/47884	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:04:21%20GMT	http://thepointsb.com/	E:/Sites/ThePoint/thepointsb.com/index.html	(from )
21:04:27	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2022%20Aug%202018%2004:04:25%20GMT	http://thepointsb.com/xmlrpc.php	E:/Sites/ThePoint/thepointsb.com/xmlrpc.php	(from http://thepointsb.com/)
21:04:28	76473/76473	---M--	200	added ('OK')	text/css	date:Wed,%2020%20Jun%202018%2019:53:52%20GMT	http://thepointsb.com/wp-content/plugins/formidable/css/formidableforms.css?ver=6201953	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/formidable/css/formidableforms8490.css	(from http://thepointsb.com/)
21:04:29	9386/9386	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Aug%202018%2016:49:59%20GMT	http://thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/icons.css?ver=2.7.4	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/divi-booster/core/fixes/126-customizer-social-icons/iconsae29.css	(from http://thepointsb.com/)
21:04:30	838/838	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Aug%202018%2019:16:03%20GMT	http://thepointsb.com/wp-content/uploads/wtfdivi/wp_head.css?ver=1534185335	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/wtfdivi/wp_headb478.css	(from http://thepointsb.com/)
21:04:30	9330/9330	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Aug%202018%2018:18:19%20GMT	http://thepointsb.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.9.1	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/instagram-feed/css/sb-instagram.min3109.css	(from http://thepointsb.com/)
21:04:31	699/699	---MC-	200	added ('OK')	application/rss+xml	etag:%22746426d281b4cab57435f6ac175b66fa%22	http://thepointsb.com/comments/feed/	E:/Sites/ThePoint/thepointsb.com/comments/feed/index.html	(from http://thepointsb.com/)
21:04:31	4821/4821	---MC-	200	added ('OK')	application/rss+xml	etag:%22dd6bc9ca441bb00744fab995be092d00%22	http://thepointsb.com/feed/	E:/Sites/ThePoint/thepointsb.com/feed/index.html	(from http://thepointsb.com/)
21:04:35	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	E:/Sites/ThePoint/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://thepointsb.com/)
